,AAPL_Expected,AMC_Expected,BBBY_Expected,FIZZ_Expected,GME_Expected,LGND_Expected,NOKIA_Expected,VIAC_Expected,AAPL_Prediction,AMC_Prediction,BBBY_Prediction,FIZZ_Prediction,GME_Prediction,LGND_Prediction,NOKIA_Prediction,VIAC_Prediction
507,142.36507949490607,10.03,27.5,47.59,179.0,167.3,3.489,64.39236502882628,153.22163,32.589207,34.62834,60.8307,178.99887,157.58264,34.18668,67.30307
508,142.57441058784778,9.915,28.0,49.0,178.0,170.16,3.528,64.44194338194363,150.15637,29.522306,36.389454,67.01777,178.00085,167.96782,31.82001,66.47847
509,142.32520690577434,9.975,28.4,49.09,179.21,167.39,3.5305,64.34278667570892,154.43398,34.306377,36.22217,60.568157,179.2089,170.35182,32.898155,65.34129
510,142.6641239133942,10.01,28.2,48.88,178.0,166.84,3.5295,64.59067844129571,153.9619,28.724392,36.777145,62.627552,178.00125,161.73334,27.70666,64.60387
511,142.7737735335065,9.96,28.06,52.93,178.8,165.08,3.5095,64.75924484189474,151.73213,33.500412,36.269104,84.78399,178.79514,169.67882,32.516632,65.854706
512,142.81364612263826,9.85,27.25,52.88,177.73,164.93,3.511,64.79890752438862,154.98267,33.144684,35.814877,83.177635,177.73216,158.91446,32.84358,65.89152
513,142.71396464980887,9.85,26.69,52.9,177.97,163.25,3.515,65.07654630184584,152.66908,33.694916,34.869244,72.8624,177.96933,158.8814,33.26615,76.277824
514,142.58437873513068,9.665,26.54,56.28,176.05,163.24,3.5155,65.44342611491429,154.03445,34.32129,36.11153,82.54837,176.04984,163.05952,33.32738,68.91526
515,142.2354935802279,9.71,26.62,56.76,178.46,170.0,3.523,65.44342611491429,150.88222,30.886475,36.142822,82.81878,178.46,172.87201,33.6522,74.13953
516,141.46794623944174,9.67,26.82,55.5,175.98,165.28,3.5305,64.4518590525671,152.67934,34.822956,36.83922,73.016266,175.98213,168.67256,30.393526,74.2746
517,141.75702251064695,9.58,26.74,56.0,174.12,164.39,3.5475,64.25354564009767,150.00067,33.70695,35.8842,71.96186,174.1229,167.65474,32.566467,76.750336
518,142.50961763050867,9.62,27.01,55.9,169.25,161.94,3.5515,65.27485971431527,155.29466,28.541733,35.441296,81.439964,169.24869,168.25346,33.725155,74.67705
519,142.46476096773546,9.78,26.98,55.81,170.24,162.6,3.485,66.83162000220037,154.51149,33.684925,36.084064,76.231285,170.2395,166.39565,30.011654,71.65927
520,142.93824796367497,9.79,26.6,55.81,170.26,161.28,3.4855,65.62190818613679,154.7013,34.11434,40.302853,82.14968,170.25993,156.0785,32.909077,81.70147
521,141.30845588291476,9.62,26.6,56.0,166.04,162.24,3.4735,64.48160606443753,155.3026,32.274612,38.700733,83.10031,166.04031,159.98532,31.139484,76.62514
522,142.0361306345692,9.58,26.7,56.65,165.23,162.52,3.4835,62.83560474094119,159.30434,29.95892,38.921623,81.70231,165.22897,160.88353,33.00845,80.71982
523,141.26858329378302,9.37,26.45,55.9,160.64,161.56,3.54,62.96450845904633,166.1759,32.27749,37.59034,80.35224,160.64046,159.24942,30.893583,75.440216
524,137.56043250453047,9.27,26.23,56.9,153.5,162.97,3.523,62.39931523350843,141.35382,33.17971,37.69176,72.59174,153.50084,159.44727,30.893583,78.47763
525,136.7928851637443,9.355,26.26,56.82,158.3,163.71,3.51,61.97294139669914,151.1105,36.08791,37.868267,72.6497,158.29488,160.89926,33.20811,70.89018
526,137.0620251403836,9.42,26.12,56.97,158.31,164.57,3.515,61.67547127799499,141.90715,33.90354,37.86235,83.32497,158.31676,164.33513,31.525496,75.060425
527,137.23148364419353,9.42,26.25,56.23,158.36,166.65,3.5135,61.97294139669914,150.45988,29.307673,37.16797,79.961784,158.36351,161.68103,32.89601,80.72664
528,138.74664203119997,9.35,26.24,55.43,157.57,166.06,3.508,60.6839042156478,153.77306,36.97521,37.260098,83.71235,157.57066,165.50699,33.55669,82.64274
529,138.4376294654289,9.635,26.19,55.55,167.52,165.98,3.527,61.47715786552555,153.92883,34.989674,36.922283,73.04102,167.51944,162.77603,30.772224,81.59312
530,139.77336120134248,9.39,26.12,53.85,164.65,147.47,3.531,62.43897791600232,152.19217,34.543327,38.027554,80.12673,164.65051,149.18678,34.907055,79.87655
531,137.81462026024536,9.11,26.05,55.39,158.34,149.74,3.509,61.69530261924193,152.21739,30.840235,37.627705,72.95725,158.34604,146.80623,29.116959,73.8454
532,138.7865146203317,9.14,26.32,55.58,159.97,151.77,3.5025,63.32147260149132,153.22043,34.243504,37.648693,82.44072,159.96292,157.86505,34.98144,77.03117
533,138.6270242638047,9.35,26.4,55.225,166.99,150.0,3.5015,63.28180991899743,158.2065,32.763264,33.108944,70.706085,166.98775,152.91011,33.483334,72.35408
534,140.25183227092344,9.35,26.42,55.3,166.53,150.1,3.506,63.34130394273826,151.14139,35.08961,36.593887,74.41996,166.52257,151.5336,35.205193,78.45615
535,139.7534249067766,9.84,26.58,54.65,156.79,148.94,3.509,63.75776210892408,159.75983,32.16354,36.608772,80.41707,156.79056,154.03648,31.890575,80.22754
536,138.87622794587813,9.85,26.93,55.11,155.8,148.93,3.493,64.2436299694742,154.24596,29.64364,36.895237,71.03733,155.80138,147.11047,34.181114,80.151184
537,136.6533311017832,9.67,27.14,55.11,154.82,148.45,3.508,63.94120201545831,153.6054,33.49264,38.469833,73.93607,154.82101,149.28568,34.56992,81.35618
538,136.63339480721731,9.78,27.13,55.3,159.5,149.89,3.508,63.95607552139352,153.24785,35.823074,36.78077,72.71616,159.49767,150.88109,37.642464,75.191696
539,137.01218440396892,9.775,26.92,50.45,161.34,147.96,3.552,68.39829596070891,162.91661,29.920813,36.96506,82.003654,161.33792,154.69188,29.864416,82.106316
540,136.44400000884153,9.9,26.8,50.08,156.32,147.57,3.549,68.17023553636906,155.10934,25.431028,36.754025,75.375786,156.32391,150.78102,32.343216,79.70642
541,136.16489188491929,9.9,26.77,49.96,156.44,148.51,3.5705,68.71559742066,154.05415,28.77571,36.10013,75.20884,156.44073,151.15594,34.20057,82.841805
542,135.52693045881134,9.565,27.17,51.01,157.18,149.11,3.572,68.18015120699253,152.68704,30.375029,36.121338,66.88921,157.17957,147.21025,34.590485,80.972374
543,135.70635710990416,9.38,26.93,51.31,155.13,149.11,3.5505,68.31897059572114,151.63197,27.898611,37.519405,74.17514,155.1307,147.57912,30.132519,79.31811
544,135.42724898598195,9.26,27.01,50.99,154.9,155.65,3.5805,68.92382650375292,152.20857,32.36684,36.90005,75.918785,154.90013,156.65112,33.31759,82.4795
545,135.61664378435776,9.23,26.97,50.86,153.1,156.12,3.581,69.78648984799497,151.90382,32.291565,36.26503,72.46412,153.10179,156.64148,32.343216,78.49185
546,134.6896060870446,9.32,27.42,50.85,152.57,155.29,3.5695,71.1845994059045,154.61595,32.982204,35.615627,65.14498,152.56975,155.89734,34.128128,82.92592
547,133.69279135875092,9.33,28.29,51.99,154.69,155.73,4.062,71.13502105278714,152.28152,34.866142,36.437378,65.39937,154.68956,158.8672,32.986694,82.5621
548,132.5564225684961,9.33,28.62,51.89,154.69,152.8,4.0595,70.68881587473092,153.65515,33.3911,38.69825,64.42209,154.69629,154.65376,33.664536,77.45601
549,130.15409907330826,9.6,28.93,52.87,166.215,152.66,3.917,70.64915319223702,138.73761,35.273567,36.101788,64.817154,166.21306,151.61113,30.1204,81.51044
